,ACCIDENT_NO,ACCIDENTDATE,CYCLISTS,CYCLISTS_COUNT_LS,ACCIDENTTIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA Description,LIGHT_CONDITION,LIGHT_CONDITION_DEC,NO_OF_VEHICLES,NO_PERSONS,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_KILLED,NO_PERSONS_NOT_INJ,POLICE_ATTEND,ROAD_GEOMETRY_DESC,SEVERITY,SEVERITY_DESC,SPEED_ZONE,VEHICLE_ID,INITIAL_DIRECTION,Vehicle Type Desc,FINAL_DIRECTION,DRIVER_INTENT,VEHICLE_MOVEMENT,TRAILER_TYPE,INITIAL_IMPACT,LAMPS,LEVEL_OF_DAMAGE,TRAFFIC_CONTROL_DESC,ROAD_ROUTE_1,ROAD_NAME,ROAD_TYPE,ROAD_NAME_INT,ROAD_TYPE_INT,DISTANCE_LOCATION,DIRECTION_LOCATION,NODE_ID,NODE_TYPE,LGA_NAME,Lga Name All,Lat,Long,Postcode No
84510,T20090026277,9/07/2009,84009,6908,19.30.00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH                        ,3,Dark Street lights on,2,2,0,1,0,1,1,T intersection,3,Other Injury,60,B,N ,Bicycle,N ,1,1,H,F,2,3,No control,5499,CHURCH,STREET,HUTCHINGS,STREET,0,N,47301,I,YARRA,YARRA,-37.82773,144.99757,3121
85982,T20090029556,9/07/2009,84009,6908,18.45.00,1,Collision with vehicle,5,Thursday,112,LEFT FAR (INTERSECTIONS ONLY)                ,2,Dusk/Dawn,2,2,0,1,0,1,2,T intersection,3,Other Injury,80,A,N ,Bicycle,N ,1,1,H,F,0,2,No control,2080,HODDLE,STREET,STAFFORD,STREET,35,S,225388,I,YARRA,YARRA,-37.80086,144.99282,3067
84667,T20090026736,13/07/2009,84009,6908,10.55.00,1,Collision with vehicle,2,Monday,137,LEFT TURN SIDESWIPE                     ,1,Day,2,2,0,1,0,1,2,T intersection,3,Other Injury,50,B,S ,Bicycle,S ,1,1,H,F,2,6,No control,9999,SWANSTON,STREET,FARADAY,STREET,0,S,29390,I,MELBOURNE,MELBOURNE,-37.79835,144.96435,3053
85326,T20090028169,13/07/2009,84009,6908,17.00.00,8,No collision and no object struck,2,Monday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT)         ,3,Dark Street lights on,2,2,0,1,0,1,2,T intersection,3,Other Injury,50,A,W ,Bicycle,S ,3,3,H,8,9,1,Stop-go lights,9999,BOUVERIE,STREET,GRATTAN,STREET,0,N,36272,I,MELBOURNE,MELBOURNE,-37.80027,144.96251,3053
84732,T20090026888,14/07/2009,84009,6908,11.45.00,1,Collision with vehicle,3,Tuesday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,1,Day,2,2,0,1,0,1,2,Not at intersection,3,Other Injury,50,B,N ,Bicycle,N ,1,1,H,F,2,1,No control,9999,WELLS,STREET,PARK,STREET,12,N,225778,N,PORT PHILLIP,PORT PHILLIP,-37.83263,144.97017,3205
84775,T20090026969,14/07/2009,84009,6908,17.15.00,1,Collision with vehicle,3,Tuesday,134,LANE CHANGE RIGHT (NOT OVERTAKING)             ,2,Dusk/Dawn,2,2,0,1,0,1,1,Cross intersection,3,Other Injury,50,A,E ,Bicycle,E ,1,1,H,5,1,5,No control,9999,CROMWELL,STREET,LANGRIDGE,STREET,0,N,36659,I,YARRA,YARRA,-37.80697,144.98989,3066
84794,T20090027007,15/07/2009,84009,6908,08.55.00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH                        ,1,Day,2,2,0,1,0,1,1,Not at intersection,3,Other Injury,60,B,S ,Bicycle,S ,1,1,H,F,2,3,No control,5065,PEEL,STREET,VICTORIA,STREET,50,S,193802,N,MELBOURNE,MELBOURNE,-37.80633,144.95592,3003
88090,T20090034271,16/07/2009,84009,6908,08.30.00,1,Collision with vehicle,5,Thursday,137,LEFT TURN SIDESWIPE                     ,1,Day,2,2,0,1,0,1,2,Not at intersection,3,Other Injury,50,A,NE,Bicycle,NW,1,3,H,F,2,5,No control,9999,LA TROBE,STREET,SWANSTON,STREET,33,W,227344,N,MELBOURNE,MELBOURNE,-37.8097,144.96347,3000
88091,T20090034271,16/07/2009,84009,6908,08.30.00,1,Collision with vehicle,5,Thursday,137,LEFT TURN SIDESWIPE                     ,1,Day,2,2,0,1,0,1,2,Not at intersection,3,Other Injury,50,A,NE,Bicycle,NW,1,3,H,F,2,5,No control,9999,LA TROBE,STREET,SWANSTON,STREET,33,W,227344,N,MELBOURNE,MELBOURNE,-37.8097,144.96347,3000
85241,T20090027962,22/07/2009,84009,6908,08.01.00,1,Collision with vehicle,4,Wednesday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,1,Day,2,3,0,1,0,2,1,Cross intersection,3,Other Injury,50,B,SW,Bicycle,SW,7,7,H,F,2,9,Stop-go lights,9999,BOURKE,STREET,WILLIAM,STREET,0,E,29419,I,MELBOURNE,MELBOURNE,-37.81568,144.95821,3000
85347,T20090028204,23/07/2009,84009,6908,08.50.00,1,Collision with vehicle,5,Thursday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,1,Day,2,3,1,0,0,2,2,Cross intersection,2,Hospitilisation,50,B,SE,Bicycle,SE,1,1,H,F,9,1,Stop-go lights,9999,LA TROBE,STREET,SWANSTON,STREET,0,W,35358,I,MELBOURNE,MELBOURNE,-37.80959,144.96383,3000
85348,T20090028204,23/07/2009,84009,6908,08.50.00,1,Collision with vehicle,5,Thursday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,1,Day,2,3,1,0,0,2,2,Cross intersection,2,Hospitilisation,50,B,SE,Bicycle,SE,1,1,H,F,9,1,Stop-go lights,9999,LA TROBE,STREET,SWANSTON,STREET,0,W,35358,I,MELBOURNE,MELBOURNE,-37.80959,144.96383,3000
85397,T20090028288,23/07/2009,84009,6908,18.40.00,1,Collision with vehicle,5,Thursday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES)        ,3,Dark Street lights on,2,2,0,1,0,1,1,Cross intersection,3,Other Injury,60,B,N ,Bicycle,N ,1,1,H,1,1,6,Stop-go lights,5736,NICHOLSON,STREET,JOHNSTON,STREET,0,S,36430,I,MELBOURNE,"YARRA,MELBOURNE",-37.79795,144.97488,3065
86276,T20090030209,23/07/2009,84009,6908,16.40.00,1,Collision with vehicle,5,Thursday,116,LEFT NEAR (INTERSECTIONS ONLY)               ,2,Dusk/Dawn,2,2,0,1,0,1,2,T intersection,3,Other Injury,50,A,N ,Bicycle,N ,1,1,H,F,9,3,Other,5065,PEEL,STREET,DUDLEY,STREET,21,N,29383,N,MELBOURNE,MELBOURNE,-37.80828,144.95559,3003
85416,T20090028317,24/07/2009,84009,6908,07.21.00,1,Collision with vehicle,6,Friday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,2,Dusk/Dawn,2,3,0,1,0,2,1,T intersection,3,Other Injury,50,B,S ,Bicycle,S ,17,1,H,F,2,9,Stop sign,5499,CHURCH,STREET,NEWTON,STREET,0,N,66574,I,YARRA,YARRA,-37.83179,144.99684,3121
85441,T20090028353,24/07/2009,84009,6908,13.00.00,2,Struck Pedestrian,6,Friday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,1,Day,1,2,1,0,0,1,2,Not at intersection,2,Hospitilisation,60,A,N ,Bicycle,N ,1,1,H,F,2,6,No control,9999,WELLINGTON,STREET,SINGLETON,STREET,19,N,225982,N,YARRA,YARRA,-37.80354,144.98659,3066
85449,T20090028366,24/07/2009,84009,6908,11.30.00,1,Collision with vehicle,6,Friday,136,RIGHT TURN SIDESWIPE                    ,1,Day,2,2,0,1,0,1,2,Cross intersection,3,Other Injury,60,A,SE,Bicycle,SE,1,1,H,4,2,1,Stop-go lights,5041,KING,STREET,BOURKE,STREET,0,S,29417,I,MELBOURNE,MELBOURNE,-37.81638,144.95573,3000
85661,T20090028856,24/07/2009,84009,6908,08.20.00,1,Collision with vehicle,6,Friday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES)        ,1,Day,2,2,0,1,0,1,2,Cross intersection,3,Other Injury,50,A,E ,Bicycle,E ,1,1,H,1,2,1,Stop-go lights,5130,FERRARS,STREET,DORCAS,STREET,0,N,37492,I,PORT PHILLIP,PORT PHILLIP,-37.83443,144.95562,3205
86074,T20090029826,25/07/2009,84009,6908,12.00.00,1,Collision with vehicle,7,Saturday,121,RIGHT THROUGH                        ,1,Day,2,2,0,1,0,1,2,Cross intersection,3,Other Injury,999,B,E ,Bicycle,E ,1,1,H,F,0,1,Unknown,9999,BERKELEY,STREET,QUEENSBERRY,STREET,0,N,31046,I,MELBOURNE,MELBOURNE,-37.80414,144.95949,3053
85767,T20090029069,29/07/2009,84009,6908,11.50.00,1,Collision with vehicle,4,Wednesday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,1,Day,3,3,1,0,0,2,1,Not at intersection,2,Hospitilisation,60,B,SE,Bicycle,SE,1,1,H,F,2,2,No control,5044,FLEMINGTON,ROAD,HARCOURT,STREET,19,NW,225387,N,MELBOURNE,MELBOURNE,-37.79784,144.95276,3052
85788,T20090029115,29/07/2009,84009,6908,17.28.00,1,Collision with vehicle,4,Wednesday,137,LEFT TURN SIDESWIPE                     ,2,Dusk/Dawn,2,2,0,1,0,1,1,Cross intersection,3,Other Injury,60,B,S ,Bicycle,S ,1,1,H,F,1,3,Stop-go lights,5082,VICTORIA,STREET,SWANSTON,STREET,0,W,36264,I,MELBOURNE,MELBOURNE,-37.80666,144.9629,3053
85814,T20090029205,30/07/2009,84009,6908,09.24.00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH                        ,1,Day,2,2,1,0,0,1,1,Cross intersection,2,Hospitilisation,60,B,E ,Bicycle,E ,1,1,H,F,0,1,No control,9999,DRUMMOND,STREET,ELGIN,STREET,0,N,36338,I,MELBOURNE,MELBOURNE,-37.79732,144.96902,3053
85836,T20090029259,30/07/2009,84009,6908,17.30.00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,3,Dark Street lights on,2,2,0,1,0,1,1,Cross intersection,3,Other Injury,60,B,NE,Bicycle,NE,1,1,H,8,1,6,Roundabout,9999,BRIDGE,STREET,PRINCES,STREET,0,NW,66708,I,PORT PHILLIP,PORT PHILLIP,-37.83563,144.94169,3207
86490,T20090030703,30/07/2009,84009,6908,17.45.00,1,Collision with vehicle,5,Thursday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES)        ,2,Dusk/Dawn,2,2,1,0,0,1,2,Not at intersection,2,Hospitilisation,999,A,E ,Bicycle,E ,1,1,H,1,2,6,Unknown,9999,BOURKE,STREET,SWANSTON,STREET,30,E,126400,N,MELBOURNE,MELBOURNE,-37.81344,144.96595,3000
85875,T20090029354,31/07/2009,84009,6908,10.45.00,8,No collision and no object struck,6,Friday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT)         ,1,Day,1,1,0,1,0,0,2,T intersection,3,Other Injury,50,A,NE,Bicycle,E ,2,17,H,N,2,2,No control,9999,MACARTHUR,STREET,ST ANDREWS,PLACE,0,SW,36997,I,MELBOURNE,MELBOURNE,-37.81179,144.97483,3002
85965,T20090029520,31/07/2009,84009,6908,17.00.00,1,Collision with vehicle,6,Friday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,1,Day,2,3,0,1,0,2,2,Not at intersection,3,Other Injury,60,B,W ,Bicycle,W ,1,1,H,F,2,2,No control,9999,LA TROBE,STREET,WURUNDJERI,WAY,92,E,225622,N,MELBOURNE,MELBOURNE,-37.81391,144.94882,3008
86138,T20090029956,4/08/2009,84009,6908,17.10.00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,2,Dusk/Dawn,2,2,0,1,0,1,1,Cross intersection,3,Other Injury,50,B,N ,Bicycle,N ,1,1,H,F,1,6,Stop sign,9999,BRUNSWICK,STREET,MOOR,STREET,0,N,35332,I,YARRA,YARRA,-37.8016,144.9779,3065
86280,T20090030218,6/08/2009,84009,6908,08.00.00,1,Collision with vehicle,5,Thursday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,1,Day,2,2,0,1,0,1,1,Not at intersection,3,Other Injury,50,B,SE,Bicycle,SE,1,1,H,F,2,1,No control,9999,EXHIBITION,STREET,LONSDALE,STREET,40,S,225739,N,MELBOURNE,MELBOURNE,-37.81047,144.96981,3000
91886,T20090042625,7/08/2009,84009,6908,13.30.00,1,Collision with vehicle,6,Friday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,9,Unknown,2,3,0,1,0,2,2,Not at intersection,3,Other Injury,60,A,E ,Bicycle,E ,1,99,H,F,2,2,Unknown,5083,VICTORIA,PARADE,VICTORIA,PARADE,31,E,227494,N,YARRA,YARRA,-37.80776,144.97357,3065
86517,T20090030765,8/08/2009,84009,6908,15.00.00,1,Collision with vehicle,7,Saturday,137,LEFT TURN SIDESWIPE                     ,1,Day,2,2,0,1,0,1,2,Cross intersection,3,Other Injury,60,A,N ,Bicycle,N ,1,1,H,F,2,5,No control,5853,JOHNSTON,STREET,BRUNSWICK,STREET,0,W,36500,I,YARRA,YARRA,-37.79834,144.97847,3065
86558,T20090030840,10/08/2009,84009,6908,17.04.00,1,Collision with vehicle,2,Monday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,1,Day,2,2,0,1,0,1,1,T intersection,3,Other Injury,60,B,SW,Bicycle,SW,1,1,H,F,2,1,No control,5061,SPENCER,STREET,RODEN,STREET,0,SE,36106,I,MELBOURNE,MELBOURNE,-37.80773,144.9479,3003
88493,T20090035210,12/08/2009,84009,6908,16.50.00,1,Collision with vehicle,4,Wednesday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,1,Day,2,2,0,2,0,0,2,Not at intersection,3,Other Injury,50,B,W ,Bicycle,W ,1,1,H,5,2,1,No control,9999,GRATTAN,STREET,LITTLE GRATTAN,STREET,18,E,233874,N,MELBOURNE,MELBOURNE,-37.8004,144.96372,3053
86794,T20090031388,14/08/2009,84009,6908,06.20.00,1,Collision with vehicle,6,Friday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,2,Dusk/Dawn,2,3,0,2,0,1,2,Not at intersection,3,Other Injury,40,A,S ,Bicycle,S ,1,1,H,5,0,9,No control,9999,SMITH,STREET,MOOR,STREET,20,S,225932,N,YARRA,YARRA,-37.80237,144.98368,3066
86933,T20090031741,14/08/2009,84009,6908,09.10.00,1,Collision with vehicle,6,Friday,135,LANE CHANGE LEFT (NOT OVERTAKING)              ,1,Day,2,2,1,0,0,1,1,T intersection,2,Hospitilisation,60,B,NE,Bicycle,NE,1,13,H,F,1,1,No control,9999,NORTHUMBERLAND,STREET,YORK,STREET,0,N,37506,I,PORT PHILLIP,PORT PHILLIP,-37.83172,144.95629,3205
86849,T20090031534,15/08/2009,84009,6908,14.35.00,1,Collision with vehicle,7,Saturday,137,LEFT TURN SIDESWIPE                     ,1,Day,2,2,0,1,0,1,1,T intersection,3,Other Injury,70,B,S ,Bicycle,S ,1,1,H,5,2,2,No control,2080,PUNT,ROAD,STEWART,STREET,0,S,55166,I,MELBOURNE,"YARRA,MELBOURNE",-37.82341,144.98905,3121
86973,T20090031813,17/08/2009,84009,6908,19.00.00,1,Collision with vehicle,2,Monday,140,U TURN                           ,1,Day,2,2,0,1,0,1,2,Not at intersection,3,Other Injury,999,B,S ,Bicycle,S ,1,1,H,1,9,2,No control,9999,ELIZABETH,STREET,LITTLE LONSDALE,STREET,20,S,125574,N,MELBOURNE,MELBOURNE,-37.81147,144.96189,3000
87012,T20090031897,18/08/2009,84009,6908,11.30.00,1,Collision with vehicle,3,Tuesday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,1,Day,2,2,0,1,0,1,2,Not at intersection,3,Other Injury,40,B,S ,Bicycle,S ,1,1,H,5,2,2,No control,9999,LYGON,STREET,MAGENTA,PLACE,21,N,225951,N,MELBOURNE,MELBOURNE,-37.80419,144.96633,3053
87419,T20090032783,24/08/2009,84009,6908,18.05.00,1,Collision with vehicle,2,Monday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,3,Dark Street lights on,3,3,1,0,0,2,1,Not at intersection,2,Hospitilisation,50,B,E ,Bicycle,E ,1,1,H,F,1,2,No control,9999,GRATTAN,STREET,BOUVERIE,STREET,15,W,225935,N,MELBOURNE,MELBOURNE,-37.80025,144.96234,3053
87531,T20090033027,26/08/2009,84009,6908,10.18.00,1,Collision with vehicle,4,Wednesday,113,RIGHT NEAR (INTERSECTIONS ONLY)               ,1,Day,2,2,1,0,0,1,1,T intersection,2,Hospitilisation,60,B,W ,Bicycle,N ,2,2,H,1,2,5,Stop-go lights,5127,TOORAK,ROAD,ST KILDA,ROAD,0,E,46819,I,MELBOURNE,"MELBOURNE,PORT PHILLIP",-37.83695,144.97581,3004
87553,T20090033088,26/08/2009,84009,6908,18.00.00,1,Collision with vehicle,4,Wednesday,119,OTHER ADJACENT (INTERSECTIONS ONLY)             ,2,Dusk/Dawn,2,2,0,1,0,1,2,Cross intersection,3,Other Injury,999,B,NK,Bicycle,NK,1,1,H,5,9,1,No control,9999,MOLLISON,STREET,VICTORIA,CRESCENT,0,W,55168,I,YARRA,YARRA,-37.80746,144.99896,3067
87842,T20090033772,31/08/2009,84009,6908,14.30.00,2,Struck Pedestrian,2,Monday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1,Day,1,2,0,1,0,1,2,Cross intersection,3,Other Injury,50,A,SW,Bicycle,S ,3,3,H,F,0,9,Stop-go lights,9999,SPRING,STREET,COLLINS,STREET,0,N,36999,I,MELBOURNE,MELBOURNE,-37.81332,144.97395,3002
87843,T20090033772,31/08/2009,84009,6908,14.30.00,2,Struck Pedestrian,2,Monday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1,Day,1,2,0,1,0,1,2,Cross intersection,3,Other Injury,50,A,SW,Bicycle,S ,3,3,H,F,0,9,Stop-go lights,9999,SPRING,STREET,COLLINS,STREET,0,N,36999,I,MELBOURNE,MELBOURNE,-37.81332,144.97395,3002
87929,T20090033923,1/09/2009,84009,6908,17.40.00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH                        ,2,Dusk/Dawn,2,2,0,1,0,1,1,T intersection,3,Other Injury,60,A,N ,Bicycle,N ,1,1,H,F,2,6,No control,5499,CHURCH,STREET,DARLINGTON,PARADE,0,N,37204,I,YARRA,YARRA,-37.82098,144.99876,3121
88033,T20090034145,3/09/2009,84009,6908,08.20.00,1,Collision with vehicle,5,Thursday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,1,Day,3,4,0,1,0,3,1,Not at intersection,3,Other Injury,60,B,E ,Bicycle,E ,1,1,H,5,2,6,No control,9999,PARK,STREET,PERRINS,STREET,15,W,226396,N,PORT PHILLIP,PORT PHILLIP,-37.83563,144.9602,3205
88236,T20090034650,3/09/2009,84009,6908,10.45.00,1,Collision with vehicle,5,Thursday,137,LEFT TURN SIDESWIPE                     ,1,Day,2,2,0,1,0,1,2,T intersection,3,Other Injury,50,B,SW,Bicycle,SW,1,1,H,F,2,5,No control,9999,TYRONE,STREET,WRECKYN,STREET,0,NW,65283,I,MELBOURNE,MELBOURNE,-37.80062,144.9538,3051
89452,T20090037439,3/09/2009,84009,6908,17.50.00,8,No collision and no object struck,4,Thursday,199,UNKNOWN-NO DETAILS ON MANOEUVRES OF ROAD-USERS IN ACCIDENT ,2,Dusk/Dawn,1,1,1,0,0,0,1,Cross intersection,2,Hospitilisation,30,A,N ,Bicycle,N ,1,18,H,N,2,6,Stop-go lights,9999,LITTLE COLLINS,STREET,SWANSTON,STREET,0,W,231,I,MELBOURNE,MELBOURNE,-37.81451,144.96609,3000
92381,T20090043636,3/09/2009,84009,6908,18.50.00,1,Collision with vehicle,5,Thursday,137,LEFT TURN SIDESWIPE                     ,1,Day,2,2,0,1,0,1,2,Cross intersection,3,Other Injury,999,A,N ,Bicycle,N ,1,1,H,1,2,2,No control,9999,ARGYLE,STREET,BRUNSWICK,STREET,0,E,36496,I,YARRA,YARRA,-37.79754,144.9786,3065
88338,T20090034860,6/09/2009,84009,6908,12.30.00,1,Collision with vehicle,1,Sunday,137,LEFT TURN SIDESWIPE                     ,1,Day,2,2,0,1,0,1,2,Cross intersection,3,Other Injury,60,A,S ,Bicycle,S ,1,1,H,F,2,6,Stop-go lights,9999,FARADAY,STREET,RATHDOWNE,STREET,0,W,116,I,MELBOURNE,MELBOURNE,-37.799,144.97023,3053
88991,T20090036351,10/09/2009,84009,6908,09.15.00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH                        ,1,Day,2,2,0,1,0,1,2,Cross intersection,3,Other Injury,60,B,SE,Bicycle,SE,1,1,H,F,2,5,No control,5061,SPENCER,STREET,ROSSLYN,STREET,0,SE,36815,I,MELBOURNE,MELBOURNE,-37.80928,144.94939,3003
88677,T20090035689,14/09/2009,84009,6908,13.38.00,1,Collision with vehicle,2,Monday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,1,Day,2,2,1,0,0,1,1,Not at intersection,2,Hospitilisation,60,B,SE,Bicycle,SE,1,1,H,F,2,1,No control,5882,ST KILDA,ROAD,SLATER,STREET,100,N,226383,N,MELBOURNE,MELBOURNE,-37.83817,144.97648,3004
88716,T20090035773,15/09/2009,84009,6908,07.28.00,8,No collision and no object struck,3,Tuesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT)         ,2,Dusk/Dawn,1,1,1,0,0,0,1,Not at intersection,2,Hospitilisation,30,A,NW,Bicycle,NW,17,17,H,F,2,6,No control,9999,SWANSTON,STREET,LITTLE LONSDALE,STREET,37,N,226404,N,MELBOURNE,MELBOURNE,-37.81026,144.96414,3000
88785,T20090035915,16/09/2009,84009,6908,08.40.00,1,Collision with vehicle,4,Wednesday,120,HEAD ON (NOT OVERTAKING)                  ,1,Day,2,2,0,1,0,1,1,Cross intersection,3,Other Injury,40,B,SE,Bicycle,SE,6,6,H,F,2,4,Stop-go lights,9999,BOURKE,STREET,HARBOUR,ESPLANADE,0,E,10760,I,MELBOURNE,MELBOURNE,-37.819,144.94671,3008
89383,T20090037228,16/09/2009,84009,6908,19.00.00,1,Collision with vehicle,4,Wednesday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,3,Dark Street lights on,2,2,1,0,0,1,2,Not at intersection,2,Hospitilisation,60,B,NW,Bicycle,NW,1,1,H,F,1,1,No control,5882,ST KILDA,ROAD,SLATER,STREET,141,N,216354,N,MELBOURNE,"PORT PHILLIP,MELBOURNE",-37.83786,144.97614,3004
88867,T20090036109,17/09/2009,84009,6908,13.55.00,1,Collision with vehicle,5,Thursday,137,LEFT TURN SIDESWIPE                     ,1,Day,2,2,0,1,0,1,1,Cross intersection,3,Other Injury,50,B,E ,Bicycle,E ,1,1,H,1,2,1,Stop-go lights,9999,ELGIN,STREET,RATHDOWNE,STREET,0,W,36370,I,MELBOURNE,MELBOURNE,-37.79748,144.97049,3053
88880,T20090036131,17/09/2009,84009,6908,13.15.00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH                        ,1,Day,2,2,0,1,0,1,1,T intersection,3,Other Injury,50,B,SW,Bicycle,SW,1,1,H,F,2,1,Giveway sign,9999,MACARTHUR,STREET,ST ANDREWS,PLACE,0,SW,36997,I,MELBOURNE,MELBOURNE,-37.81179,144.97483,3002
88901,T20090036180,17/09/2009,84009,6908,17.30.00,1,Collision with vehicle,5,Thursday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,1,Day,3,3,0,1,0,2,2,Not at intersection,3,Other Injury,60,B,E ,Bicycle,E ,1,1,H,F,2,1,Unknown,5083,VICTORIA,PARADE,VICTORIA,PARADE,52,E,226608,N,YARRA,YARRA,-37.80779,144.97381,3065
89053,T20090036469,17/09/2009,84009,6908,18.15.00,1,Collision with vehicle,5,Thursday,135,LANE CHANGE LEFT (NOT OVERTAKING)              ,2,Dusk/Dawn,3,3,0,1,0,2,2,Not at intersection,3,Other Injury,50,C,E ,Bicycle,E ,1,1,H,F,1,1,No control,9999,ELGIN,STREET,CASAMENTO,PLACE,25,E,227589,N,MELBOURNE,MELBOURNE,-37.79756,144.97117,3053
89063,T20090036497,18/09/2009,84009,6908,19.30.00,1,Collision with vehicle,6,Friday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES)        ,3,Dark Street lights on,2,2,0,1,0,1,1,Not at intersection,3,Other Injury,60,B,NW,Bicycle,NW,1,8,H,4,1,6,No control,5068,MACAULAY,ROAD,BOUNDARY,ROAD,57,SE,233313,N,MELBOURNE,MELBOURNE,-37.79581,144.93932,3051
89164,T20090036770,21/09/2009,84009,6908,01.15.00,1,Collision with vehicle,2,Monday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES)        ,3,Dark Street lights on,2,2,1,0,0,1,2,T intersection,2,Hospitilisation,50,A,N ,Bicycle,N ,1,1,H,1,9,9,No control,9999,PEEL,STREET,SMITH,STREET,0,W,36571,I,YARRA,YARRA,-37.80498,144.98323,3066
89179,T20090036827,22/09/2009,84009,6908,09.05.00,8,No collision and no object struck,3,Tuesday,172,OFF CARRIAGEWAY TO RIGHT                  ,1,Day,1,1,0,1,0,0,1,Not at intersection,3,Other Injury,50,A,SW,Bicycle,SW,1,18,H,F,2,1,No control,9999,BROOKE,STREET,MERTON,STREET,30,SW,226507,N,PORT PHILLIP,PORT PHILLIP,-37.83871,144.95213,3206
89188,T20090036834,22/09/2009,84009,6908,08.50.00,1,Collision with vehicle,3,Tuesday,137,LEFT TURN SIDESWIPE                     ,1,Day,2,2,1,0,0,1,1,Cross intersection,2,Hospitilisation,50,B,E ,Bicycle,E ,1,1,H,F,2,6,No control,9999,CAMBRIDGE,STREET,LANGRIDGE,STREET,0,S,36603,I,YARRA,YARRA,-37.80656,144.9852,3066
89328,T20090037095,24/09/2009,84009,6908,11.15.00,1,Collision with vehicle,5,Thursday,169,OTHER ON PATH                        ,1,Day,2,2,0,1,0,1,2,T intersection,3,Other Injury,30,A,N ,Bicycle,N ,15,15,H,1,0,5,Stop-go lights,5061,SPENCER,STREET,FLINDERS,LANE,0,S,36839,I,MELBOURNE,MELBOURNE,-37.8201,144.95462,3008
89329,T20090037095,24/09/2009,84009,6908,11.15.00,1,Collision with vehicle,5,Thursday,169,OTHER ON PATH                        ,1,Day,2,2,0,1,0,1,2,T intersection,3,Other Injury,30,A,N ,Bicycle,N ,15,15,H,1,0,5,Stop-go lights,5061,SPENCER,STREET,FLINDERS,LANE,0,S,36839,I,MELBOURNE,MELBOURNE,-37.8201,144.95462,3008
89343,T20090037137,24/09/2009,84009,6908,15.15.00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,1,Day,2,2,0,1,0,1,1,Cross intersection,3,Other Injury,50,B,S ,Bicycle,S ,1,1,H,8,2,6,Giveway sign,9999,CANNING,STREET,KAY,STREET,0,S,36395,I,MELBOURNE,MELBOURNE,-37.79522,144.97332,3053
